Participant;Item;RT_ms;Step;Iteration;Voice;Condition;Response;VoiceCond
BC71;wit;457,12;2;4;female;ie;i;female_ie
BC71;wit;350,78;1;4;female;ie;i;female_ie
BC71;wit;582,9;3;4;female;ie;i;female_ie
BC71;wit;291,14;4;4;female;ie;i;female_ie
BC71;wit;383,73;2;5;female;ie;i;female_ie
BC71;wit;263,995;1;5;female;ie;i;female_ie
BC71;wit;372,45;3;5;female;ie;i;female_ie
BC71;wit;259,23;4;5;female;ie;i;female_ie
BC71;wit;331,815;2;6;female;ie;i;female_ie
BC71;wit;263,03;1;6;female;ie;i;female_ie
BC71;wit;332,735;3;6;female;ie;i;female_ie
BC71;wit;279,33;4;6;female;ie;i;female_ie
BC71;wit;243,49;2;7;female;ie;i;female_ie
BC71;wit;253,27;1;7;female;ie;i;female_ie
BC71;wit;295,325;3;7;female;ie;i;female_ie
BC71;wit;280,065;4;7;female;ie;i;female_ie
BC71;wit;321,565;2;8;female;ie;i;female_ie
BC71;wit;279,18;1;8;female;ie;i;female_ie
BC71;wit;222,05;3;8;female;ie;i;female_ie
BC71;wit;255,155;4;8;female;ie;i;female_ie
BD00;kist;613,225;4;1;male;ie;ie;male_ie
BD00;kist;630,32;2;1;male;ie;i;male_ie
BD00;kist;703,2;3;1;male;ie;i;male_ie
BD00;kist;503,7250001;1;1;male;ie;i;male_ie
BD00;kist;615,965;3;2;male;ie;i;male_ie
BD00;kist;537,4400001;2;2;male;ie;i;male_ie
BD00;kist;780,595;1;2;male;ie;i;male_ie
BD00;kist;489,99;4;2;male;ie;ie;male_ie
BD00;kist;539,705;1;3;male;ie;i;male_ie
BD00;kist;510,1000001;2;3;male;ie;i;male_ie
BD00;kist;367,25;4;3;male;ie;ie;male_ie
BD00;kist;544,235;3;3;male;ie;ie;male_ie
BD00;kist;502,8050001;2;4;male;ie;i;male_ie
BD00;kist;683,1049999;3;4;male;ie;i;male_ie
BD00;kist;388,61;4;4;male;ie;ie;male_ie
BD00;kist;553,59;1;4;male;ie;i;male_ie
BD00;kist;464,83;1;5;male;ie;i;male_ie
BD00;kist;276,405;2;5;male;ie;i;male_ie
BD00;kist;191,73;3;5;male;ie;i;male_ie
BD00;kist;240,4499999;4;5;male;ie;ie;male_ie
BD00;kist;730,1299999;3;6;male;ie;ie;male_ie
BD00;kist;416,1650001;2;6;male;ie;i;male_ie
BD00;kist;297,5099999;1;6;male;ie;i;male_ie
