Participant;Item;Item_Type;Correct_Response;Part_Response;RT_ms;Condition;Response
IQ93;water;filler;word;word;63,95500002;ie;correct
DX27;voordeel;filler;word;word;64,25;i;correct
GT29;afdruk;filler;word;word;64,87999999;ie;correct
CF70;verstand;filler;word;word;64,97499999;ie;correct
FX81;dorp;filler;word;word;65,13499998;ie;correct
GT29;lag;filler;word;word;65,25999999;ie;correct
FX81;marge;filler;word;word;65,34;ie;correct
DX27;droog;filler;word;word;65,74;i;correct
TF36;afdruk;filler;word;word;65,75;i;correct
QX03;afdruk;filler;word;word;65,75000001;i;correct
KF77;ton;filler;word;word;65,81000006;i;correct
FG25;droog;filler;word;non-word;65,84500003;i;incorrect
GT29;mentaal;filler;word;word;65,89;ie;correct
QX03;bron;filler;word;word;66,47999999;i;correct
CP39;verstand;filler;word;word;66,98499992;i;correct
NN37;onrust;filler;word;word;67;ie;correct
GT29;foto;filler;word;word;67,84999999;ie;correct
LO27;koorts;filler;word;word;67,85999984;i;correct
KF72;adel;filler;word;word;67,9;i;correct
LE65;staart;filler;word;word;67,94500002;ie;correct
NF64;zon;filler;word;word;68,215;i;correct
NN33;doof;filler;word;word;68,30499999;ie;correct
KF77;aanval;filler;word;word;68,68500006;i;correct
TR42;pakket;filler;word;word;68,925;i;correct
DX78;normaal;filler;word;word;68,97;ie;correct
FO97;kapsel;filler;word;word;69,045;ie;correct
NX92;zon;filler;word;word;69,21999995;i;correct
XX28;staart;filler;word;word;69,405;i;correct
GT29;droog;filler;word;word;69,63;ie;correct
GT29;ras;filler;word;word;69,85;ie;correct
CF70;roman;filler;word;word;69,86500003;ie;correct
JU99;pot;filler;word;word;70,18000027;i;correct
BT89;gevaar;filler;word;word;70,465;ie;correct
TX60;pakket;filler;word;word;70,56499971;i;correct
MF88;mosterd;filler;word;word;71,31999999;i;correct
NX81;normaal;filler;word;word;71,33000001;i;correct
TF36;doof;filler;word;word;72,135;i;correct
EE40;donker;filler;word;word;72,205;ie;correct
SF29;raak;filler;word;word;72,76;i;correct
TX31;mosterd;filler;word;word;72,85;i;correct
LD19;verstand;filler;word;word;73,22000002;i;correct
KF77;vak;filler;word;non-word;73,40499992;i;incorrect
TY61;roman;filler;word;word;73,41;i;correct
TX31;staal;filler;word;word;73,435;i;correct
FX75;doof;filler;word;word;73,54499999;i;correct
FF38;bron;filler;word;word;75,08;ie;correct
FI03;taal;filler;word;word;75,16000001;i;correct
IU15;voordeel;filler;word;word;75,405;ie;correct
KF77;marge;filler;word;word;75,495;i;correct
SV59;hoofdstad;filler;word;word;76;ie;correct
NX92;pot;filler;word;word;76,77499996;i;correct
DV10;droog;filler;word;word;76,99500001;i;correct
BU54;soldaat;filler;word;word;77;i;correct
MH99;los;filler;word;word;77,085;i;correct
NU88;foto;filler;word;word;77,39999998;ie;correct
LD19;mosterd;filler;word;word;77,49500009;i;correct
FO97;kantoor;filler;word;word;77,52;ie;correct
MF88;plank;filler;word;word;77,785;i;correct
NF91;zon;filler;word;word;78,12000019;ie;correct
GT29;voordeel;filler;word;word;78,23999999;ie;correct
LO27;baron;filler;word;word;78,47499987;i;correct
TX60;legaal;filler;word;word;78,49500002;i;correct
FI03;gevaar;filler;word;word;78,67000002;i;correct
KF72;verstand;filler;word;word;78,96;i;correct
LO27;staart;filler;word;word;80,235;i;correct
FI17;offer;filler;word;word;80,25500004;i;correct
DV10;donker;filler;word;word;80,39000002;i;correct
SN78;pot;filler;word;word;81;i;correct
MF88;marge;filler;word;word;81,19999999;i;correct
CF70;tafel;filler;word;word;81,21500001;ie;correct
FI17;baas;filler;word;word;81,46999998;i;correct
DV10;zon;filler;word;word;81,50500001;i;correct
FI03;last;filler;word;word;81,79500001;i;correct
KF72;dorp;filler;word;word;82,17;i;correct
CF47;kapsel;filler;word;word;82,455;i;correct
MF88;baas;filler;word;word;82,895;i;correct
